method,variant,kappa,checkpoint_episode,train_seed,D_E,D_E_normalized_by_budget,D_E_bs_index_zero_based,D_E_tau,energy_utilization_mean,energy_utilization_min_bs,energy_utilization_max_bs,terminal_on_ratio,D_H,D_H_normalized_by_budget,D_H_user_index_zero_based,D_H_tau,handover_utilization_mean,handover_utilization_min_user,handover_utilization_max_user,terminal_handover_ratio,H_max,H_bar
Jensen-HAPPO,jensen,0.015,10,0,239.94000000006787,0.3999000000001131,0,5999,1.000000000000113,1.000000000000113,1.000000000000113,0.6,44.302600000000005,0.2973328859060403,8,5926,0.821006711409396,0.7208053691275168,0.8966442953020135,0.012232999999999999,149,0.0149
Jensen-HAPPO,jensen,0.015,10,1,239.98000000006786,0.39996666666677977,1,5999,1.000000000000113,1.000000000000113,1.000000000000113,0.6,15.462880000000002,0.10377771812080538,2,4744,0.5165771812080537,0.385234899328859,0.5932885906040268,0.007697000000000001,149,0.0149
Jensen-HAPPO,jensen,0.015,10,2,240.00000000006784,0.4000000000001131,0,5999,1.000000000000113,1.000000000000113,1.000000000000113,0.6,7.021560000000003,0.04712456375838928,3,5926,0.46503355704697985,0.37583892617449666,0.5610738255033556,0.006929000000000001,149,0.0149
Jensen-HAPPO,jensen,0.015,25,0,239.98000000006786,0.39996666666677977,1,5999,1.000000000000113,1.000000000000113,1.000000000000113,0.6,24.7623,0.16618993288590603,14,5955,0.6614093959731543,0.5476510067114094,0.7449664429530202,0.009855000000000001,149,0.0149
Jensen-HAPPO,jensen,0.015,25,1,239.80000000006785,0.39966666666677975,1,6001,1.000000000000113,1.000000000000113,1.000000000000113,0.6,40.58970000000001,0.2724140939597316,19,5947,0.7715436241610738,0.676510067114094,0.8671140939597315,0.011496,149,0.0149
Jensen-HAPPO,jensen,0.015,25,2,239.9200000000679,0.39986666666677984,1,6000,1.000000000000113,1.000000000000113,1.000000000000113,0.6,51.462199999999996,0.3453838926174496,14,4922,0.8494630872483221,0.7798657718120805,0.9275167785234899,0.012656999999999998,149,0.0149
Jensen-HAPPO,jensen,0.015,30,0,239.92000000006783,0.3998666666667797,2,5999,1.000000000000113,1.000000000000113,1.000000000000113,0.6,14.97456,0.10050040268456376,14,5976,0.5519463087248322,0.4697986577181208,0.6469798657718121,0.008224,149,0.0149
Jensen-HAPPO,jensen,0.015,30,1,239.78000000006787,0.39963333333344647,0,6001,1.000000000000113,1.000000000000113,1.000000000000113,0.6,33.6596,0.22590335570469797,7,5996,0.71,0.640268456375839,0.8255033557046978,0.010578999999999998,149,0.0149
Jensen-HAPPO,jensen,0.015,30,2,239.96000000006788,0.39993333333344644,2,5999,1.000000000000113,1.000000000000113,1.000000000000113,0.6,50.36139999999999,0.33799597315436236,19,4714,0.7915436241610738,0.6926174496644296,0.902013422818792,0.011793999999999997,149,0.0149
HeLyMARL,,0.015,10,0,46.06000000000324,0.07676666666667208,2,4488,1.000000000000113,1.000000000000113,1.000000000000113,0.6,11.248919999999998,0.07549610738255032,14,4782,0.8372483221476509,0.7302013422818792,0.9127516778523489,0.012475,149,0.0149
HeLyMARL,,0.015,10,1,9.80000000000707,0.016333333333345117,0,5375,0.9095111111112036,0.7351333333333864,1.000000000000113,0.5457066666666667,8.677560000000001,0.05823865771812081,7,3526,0.9085906040268454,0.8416107382550335,0.9557046979865772,0.013538,149,0.0149
HeLyMARL,,0.015,10,2,32.620000000056166,0.05436666666676027,1,8592,1.000000000000113,1.000000000000113,1.000000000000113,0.6,7.479439999999999,0.05019758389261745,7,2443,0.7987248322147651,0.6684563758389261,0.8885906040268458,0.011900999999999997,149,0.0149
