variant,kappa,episode,mu_E_mean_mean,mu_E_mean_std,mu_H_mean_mean,mu_H_mean_std,C_E_max_raw_mean,C_E_max_raw_std,C_H_max_raw_mean,C_H_max_raw_std,C_E_running_signed_mean,C_E_running_signed_std,C_H_running_signed_mean,C_H_running_signed_std
pf,0.015,1,0.19129717515574562,0.046554495339715084,0.005074345188525816,0.0002297708600843522,0.0228733333448569,0.004087546005356888,0.0644000011185805,0.003421987900896359,0.0228733333448569,0.004087546005356888,0.0644000011185805,0.003421987900896359
pf,0.015,2,0.3665582487980525,0.1029384668898819,0.009945120165745417,0.0006338924489283162,0.021173333438734215,0.0067704528804441826,0.062499998758236565,0.007016407613156608,0.021929999968657892,0.004533053596837596,0.05958333301047484,0.003883404977562102
pf,0.015,3,0.5860732760694293,0.14900125180618734,0.015415651351213455,0.0011124612793507508,0.02498333342373371,0.005402983380565303,0.07183333237965901,0.01088316669167979,0.022883333369261693,0.0044564348310980545,0.06069999974634912,0.005143280102904952
pf,0.015,4,0.7921285430590311,0.15517284919539265,0.020675613731145858,0.000981398576757618,0.023803333441416424,0.00034078321852513147,0.06756666799386342,0.0017616277562092848,0.023113333387300372,0.0032663133119512186,0.06108333418766657,0.0027157326588003097
pf,0.015,5,0.9643061425950791,0.1544248936156195,0.02563478505859772,0.0011412462871859862,0.02010333351790905,0.001632737504280375,0.06206666554013888,0.0013051177683243449,0.02240199999262889,0.002607197117345206,0.060286666701237356,0.0023363504891872142
pf,0.015,6,1.14082494046953,0.11954289225558581,0.03035828353216251,0.0009842498570067108,0.020273333725829918,0.005542331226475849,0.060466665774583817,0.0023755683715337,0.02176111108726925,0.0015197812728644333,0.05913333387838469,0.001331143263372253
pf,0.015,7,1.273211532168918,0.1775270566020834,0.034643603706111505,0.0013160295936721208,0.016023333184421062,0.005741186866490594,0.05523333325982094,0.006304231881794842,0.020925238063292842,0.0019919766062082333,0.05720476220761026,0.0018228883931623256
pf,0.015,8,1.425011807017856,0.2856105917383982,0.039345041289925574,0.001968280335201654,0.01828333269804716,0.011859342795776811,0.060233332216739655,0.014056432039848524,0.02034708329786857,0.0032866945409035023,0.05741666707520684,0.0024232699210832735
pf,0.015,9,1.6384917497634888,0.2506192327215401,0.044564380807181204,0.001497267994919725,0.023873333508769672,0.00386725129196806,0.0642999994258086,0.005271622726190986,0.020681851853926975,0.0025586778029346936,0.057374074365253803,0.001767551051046659
pf,0.015,10,1.8780899312761097,0.276764408728799,0.04979543549319108,0.001347993331732772,0.026579999675353367,0.005873525145959331,0.0676666684448719,0.007432588906688332,0.021208666637539866,0.002642402404969913,0.05769666681687038,0.0013839192897694152
pf,0.015,11,2.1266140143076577,0.3042701928245791,0.055534807158013184,0.0017879760587476033,0.02810666648050149,0.0039702677070782505,0.07266666740179062,0.0066785745300153914,0.021796666424382816,0.002673142390557817,0.05819090929898348,0.0012684339135832494
pf,0.015,12,2.298964023590088,0.24325721517599663,0.06034244187176228,0.0014437988225482047,0.01971999928355217,0.008600052073026493,0.06043333436052004,0.0035019043941487455,0.021471111052152183,0.0018829769716374705,0.057872222322556705,0.0012218017800879263
pf,0.015,13,2.3787691990534463,0.30972664380912235,0.06436029144873222,0.0016785281865327032,0.009773333692767968,0.008097440263511849,0.050833333283662796,0.004875790706887016,0.020522564064520292,0.0022932772695256503,0.056730769001520596,0.0010494576966376208
