method,variant,kappa,checkpoint_episode,train_seed,D_E,D_E_normalized_by_budget,D_E_bs_index_zero_based,D_E_tau,energy_utilization_mean,energy_utilization_min_bs,energy_utilization_max_bs,terminal_on_ratio,D_H,D_H_normalized_by_budget,D_H_user_index_zero_based,D_H_tau,handover_utilization_mean,handover_utilization_min_user,handover_utilization_max_user,terminal_handover_ratio,H_max,H_bar
Jensen-HAPPO,jensen,0.015,10,0,239.90000000006785,0.3998333333334464,0,5999,1.000000000000113,1.000000000000113,1.000000000000113,0.6,34.620400000000004,0.23235167785234903,14,4804,0.7376510067114095,0.6322147651006713,0.8201342281879194,0.010991000000000003,149,0.0149
Jensen-HAPPO,jensen,0.015,10,1,239.98000000006786,0.39996666666677977,1,5999,1.000000000000113,1.000000000000113,1.000000000000113,0.6,9.615939999999998,0.06453651006711408,14,5949,0.4785906040268456,0.39463087248322154,0.5691275167785236,0.007130999999999999,149,0.0149
Jensen-HAPPO,jensen,0.015,10,2,239.94000000006787,0.3999000000001131,1,5999,1.000000000000113,1.000000000000113,1.000000000000113,0.6,7.25564,0.04869557046979865,2,5082,0.41536912751677857,0.34496644295302015,0.512751677852349,0.006188999999999999,149,0.0149
Jensen-HAPPO,jensen,0.015,25,0,239.98000000006786,0.39996666666677977,1,5999,1.000000000000113,1.000000000000113,1.000000000000113,0.6,62.12050000000001,0.41691610738255036,9,5455,0.9331543624161073,0.8590604026845637,0.9919463087248321,0.013903999999999998,149,0.0149
Jensen-HAPPO,jensen,0.015,25,1,239.90000000006785,0.3998333333334464,0,6000,1.000000000000113,1.000000000000113,1.000000000000113,0.6,32.86408,0.22056429530201344,8,5951,0.6838255033557047,0.5798657718120805,0.8120805369127517,0.010189000000000002,149,0.0149
Jensen-HAPPO,jensen,0.015,25,2,240.00000000006784,0.4000000000001131,1,5999,1.000000000000113,1.000000000000113,1.000000000000113,0.6,20.0332,0.1344510067114094,18,5330,0.622281879194631,0.5570469798657718,0.6818791946308724,0.009272,149,0.0149
Jensen-HAPPO,jensen,0.015,30,0,239.94000000006787,0.3999000000001131,1,5999,1.000000000000113,1.000000000000113,1.000000000000113,0.6,14.56608,0.09775892617449664,14,5976,0.5597986577181209,0.4657718120805369,0.676510067114094,0.008341,149,0.0149
Jensen-HAPPO,jensen,0.015,30,1,239.98000000006786,0.39996666666677977,0,5999,1.000000000000113,1.000000000000113,1.000000000000113,0.6,56.282,0.37773154362416106,7,5820,0.8938926174496645,0.7986577181208053,0.9664429530201343,0.013319000000000001,149,0.0149
Jensen-HAPPO,jensen,0.015,30,2,239.88000000006787,0.3998000000001131,0,5999,1.000000000000113,1.000000000000113,1.000000000000113,0.6,10.845280000000002,0.07278711409395974,14,5932,0.512751677852349,0.440268456375839,0.6053691275167786,0.007640000000000001,149,0.0149
HeLyMARL,,0.015,10,0,46.06000000000324,0.07676666666667208,2,4488,1.000000000000113,1.000000000000113,1.000000000000113,0.6,11.248919999999998,0.07549610738255032,14,4782,0.8372483221476509,0.7302013422818792,0.9127516778523489,0.012475,149,0.0149
HeLyMARL,,0.015,10,1,9.80000000000707,0.016333333333345117,0,5375,0.9095111111112036,0.7351333333333864,1.000000000000113,0.5457066666666667,8.677560000000001,0.05823865771812081,7,3526,0.9085906040268454,0.8416107382550335,0.9557046979865772,0.013538,149,0.0149
HeLyMARL,,0.015,10,2,32.620000000056166,0.05436666666676027,1,8592,1.000000000000113,1.000000000000113,1.000000000000113,0.6,7.479439999999999,0.05019758389261745,7,2443,0.7987248322147651,0.6684563758389261,0.8885906040268458,0.011900999999999997,149,0.0149
