method,variant,kappa,checkpoint_episode,train_seed,D_E,D_E_normalized_by_budget,D_E_bs_index_zero_based,D_E_tau,energy_utilization_mean,energy_utilization_min_bs,energy_utilization_max_bs,terminal_on_ratio,D_H,D_H_normalized_by_budget,D_H_user_index_zero_based,D_H_tau,handover_utilization_mean,handover_utilization_min_user,handover_utilization_max_user,terminal_handover_ratio,H_max,H_bar
PF-HAPPO,pf,0.015,10,0,234.2000000000678,0.39033333333344633,2,6086,1.000000000000113,1.000000000000113,1.000000000000113,0.6,120.8837,0.8113,8,1887,1.0,1.0,1.0,0.014899999999999995,149,0.0149
PF-HAPPO,pf,0.015,10,1,175.68000000006703,0.2928000000001117,1,7006,1.000000000000113,1.000000000000113,1.000000000000113,0.6,115.96669999999999,0.7782999999999999,8,2217,1.0,1.0,1.0,0.014899999999999995,149,0.0149
PF-HAPPO,pf,0.015,10,2,163.00000000006733,0.2716666666667789,0,7241,1.000000000000113,1.000000000000113,1.000000000000113,0.6,115.5667,0.7756154362416107,6,2217,1.0,1.0,1.0,0.014899999999999995,149,0.0149
PF-HAPPO,pf,0.015,25,0,193.76000000006775,0.32293333333344626,2,6759,1.000000000000113,1.000000000000113,1.000000000000113,0.6,124.14680000000001,0.8332,17,1668,1.0,1.0,1.0,0.014899999999999995,149,0.0149
PF-HAPPO,pf,0.015,25,1,173.30000000006734,0.2888333333334456,0,7071,1.000000000000113,1.000000000000113,1.000000000000113,0.6,118.70660000000001,0.7966885906040269,17,1966,1.0,1.0,1.0,0.014899999999999995,149,0.0149
PF-HAPPO,pf,0.015,25,2,199.2600000000677,0.3321000000001128,2,6662,1.000000000000113,1.000000000000113,1.000000000000113,0.6,120.7239,0.8102275167785234,17,1589,1.0,1.0,1.0,0.014899999999999995,149,0.0149
PF-HAPPO,pf,0.015,30,0,130.42000000006706,0.21736666666677842,0,7765,1.000000000000113,1.000000000000113,1.000000000000113,0.6,117.2779,0.7871,14,2129,1.0,1.0,1.0,0.014899999999999995,149,0.0149
PF-HAPPO,pf,0.015,30,1,151.26000000006712,0.25210000000011185,0,7422,1.000000000000113,1.000000000000113,1.000000000000113,0.6,118.18679999999999,0.7931999999999999,15,2068,1.0,1.0,1.0,0.014899999999999995,149,0.0149
PF-HAPPO,pf,0.015,30,2,195.8200000000677,0.3263666666667795,2,6719,1.000000000000113,1.000000000000113,1.000000000000113,0.6,122.4597,0.8218771812080536,17,1647,1.0,1.0,1.0,0.014899999999999995,149,0.0149
HeLyMARL,,0.015,10,0,46.06000000000324,0.07676666666667208,2,4488,1.000000000000113,1.000000000000113,1.000000000000113,0.6,11.248919999999998,0.07549610738255032,14,4782,0.8372483221476509,0.7302013422818792,0.9127516778523489,0.012475,149,0.0149
HeLyMARL,,0.015,10,1,9.80000000000707,0.016333333333345117,0,5375,0.9095111111112036,0.7351333333333864,1.000000000000113,0.5457066666666667,8.677560000000001,0.05823865771812081,7,3526,0.9085906040268454,0.8416107382550335,0.9557046979865772,0.013538,149,0.0149
HeLyMARL,,0.015,10,2,32.620000000056166,0.05436666666676027,1,8592,1.000000000000113,1.000000000000113,1.000000000000113,0.6,7.479439999999999,0.05019758389261745,7,2443,0.7987248322147651,0.6684563758389261,0.8885906040268458,0.011900999999999997,149,0.0149
