variant,kappa,train_seed,episode,global_step,episode_reward_mean,on_ratio_mean,handover_ratio_mean,C_E_max,C_H_max,mu_E_mean_post_update,mu_H_mean_post_update,critic_loss_mean,actor_ue_loss_mean,actor_bs_loss_mean
jensen,0.015,0,1,10000,-242.83619846715038,0.8562333333333333,0.067035,0.026340000331401825,0.061500001698732376,0.00233907966564099,0.004759252583608031,0.23834968319595967,-0.003611475996683422,-0.19496717342599942
jensen,0.015,0,2,20000,-236.3408709852606,0.9857333333333335,0.05526000000000001,0.038679998368024826,0.05079999938607216,0.005860327122112115,0.00844359970651567,0.33048609009295465,-0.002978413897313036,-0.14484532125061378
jensen,0.015,0,3,30000,-234.5740912355632,0.9975666666666667,0.03821,0.03976999968290329,0.029999999329447746,0.009489597752690315,0.010571501683443785,0.4938469984460967,-0.002897999085901494,-0.12799401076428027
jensen,0.015,0,4,40000,-233.32763964848388,0.9983666666666666,0.024015,0.039900001138448715,0.014399999752640724,0.013126171194016933,0.011403583688661456,0.6415620304043749,-0.002881014720636974,-0.12379784904909615
jensen,0.015,0,5,50000,-233.05110592555488,0.9989,0.020700000000000003,0.0399399995803833,0.009600000455975533,0.016767612968881924,0.011933048767969013,0.792099321123116,-0.0029042868980330328,-0.1179989262677794
jensen,0.015,0,6,60000,-233.22126523917186,0.9992666666666666,0.025520000000000004,0.03996000066399574,0.015300000086426735,0.020412402227520943,0.012902517803013325,0.9424174996924384,-0.002291495572883176,-0.10314282465687823
jensen,0.015,0,7,70000,-233.05388530136273,0.9990666666666667,0.021670000000000002,0.03994999825954437,0.01209999993443489,0.02405536671479543,0.013520531356334686,1.07177208678282,-0.002733667463187977,-0.11230746440772156
jensen,0.015,0,8,80000,-233.21214691441358,0.9991666666666666,0.02296,0.03994999825954437,0.014700000174343586,0.027699242656429608,0.0142563053406775,1.2090047251278198,-0.0018538344173273658,-0.09489891010106695
jensen,0.015,0,9,90000,-233.1876533615304,0.9979999999999999,0.0214,0.03990999981760979,0.01080000028014183,0.031332469234863915,0.014849671442061663,1.3176547316533391,-0.002323366212032299,-0.08668303763187385
jensen,0.015,0,10,100000,-233.04234336347506,0.9990666666666668,0.021515,0.03994999825954437,0.011900000274181366,0.034975431859493256,0.01545353545807302,1.4567175224863005,-0.0022751745699368464,-0.09648177068963458
