variant,kappa,train_seed,episode,global_step,episode_reward_mean,on_ratio_mean,handover_ratio_mean,C_E_max,C_H_max,mu_E_mean_post_update,mu_H_mean_post_update,critic_loss_mean,actor_ue_loss_mean,actor_bs_loss_mean
jensen,0.015,1,1,10000,-239.7372497515711,0.9478,0.071385,0.03514999896287918,0.06700000166893005,0.31749650835990906,0.005156351416371763,0.24014465732574236,-0.002937930685842315,-0.18221351015381515
jensen,0.015,1,2,20000,-234.74827134338702,0.9857666666666667,0.03543,0.03897000104188919,0.028200000524520874,0.6696516871452332,0.007030475488863886,0.3396560414296605,-0.0036368492212296827,-0.14589727875375766
jensen,0.015,1,3,30000,-233.65628792412383,0.9959666666666666,0.02561,0.03962999954819679,0.01510000042617321,1.0311181545257568,0.008008160255849361,0.5051693390534028,-0.002879258269581154,-0.1351101852531981
jensen,0.015,1,4,40000,-234.25336504271695,0.9979333333333334,0.03334,0.03988000005483627,0.023399999365210533,1.3943799336751301,0.009691494284197688,0.6748351162524862,-0.0031656501816933426,-0.13863374697209535
jensen,0.015,1,5,50000,-234.2717052295892,0.9985333333333334,0.031545000000000004,0.039889998733997345,0.022099999710917473,1.7581894000371296,0.01121096797287464,0.8141906930242288,-0.002563880961845169,-0.11764021573331844
jensen,0.015,1,6,60000,-233.78517424160498,0.9981333333333334,0.023159999999999997,0.03993000090122223,0.012000000104308128,2.121633768081665,0.011964999185875059,0.9602200882471417,-0.0032871862229466725,-0.1151672458973171
jensen,0.015,1,7,70000,-233.44550435303273,0.9988666666666667,0.016884999999999997,0.03994999825954437,0.007899999618530273,2.4857475757598877,0.01214620415121317,1.100436199367343,-0.0027251510209288995,-0.1111763822765066
jensen,0.015,1,8,80000,-233.58798541302903,0.9993333333333333,0.01802,0.039969999343156815,0.007899999618530273,2.850287357966105,0.01243101987056434,1.236556229917605,-0.0021469817091592978,-0.11155270066707619
jensen,0.015,1,9,90000,-233.98612680274718,0.999,0.022985,0.0399399995803833,0.015399999916553497,3.214522918065389,0.013169076200574637,1.354898973106882,-0.00236173334702425,-0.10449482252396926
jensen,0.015,1,10,100000,-233.88366537526838,0.999,0.020775,0.03993000090122223,0.009100000374019146,3.5787583192189536,0.013705387618392706,1.5080360593453832,-0.002492959280586743,-0.11006632516060402
jensen,0.015,1,11,110000,-233.2449226945456,0.9991333333333333,0.010644999999999998,0.03999999910593033,-0.0005000000237487257,3.9431156317392984,0.0133169611915946,1.6264668650515295,-0.002234945507112985,-0.10297518958193191
jensen,0.015,1,12,120000,-233.58441915049977,0.9993,0.013275,0.039980001747608185,0.0019000000320374966,4.307624975840251,0.013168619573116302,1.7559447998565714,-0.0021998385133964447,-0.10165416697096198
jensen,0.015,1,13,130000,-233.595916925696,0.9993333333333334,0.012875000000000001,0.03994999825954437,0.0017000000225380063,4.672164599100749,0.012983763264492154,1.8619089955816348,-0.0012400233040157041,-0.0914326053683033
jensen,0.015,1,14,140000,-233.78917466555643,0.9994666666666667,0.014394999999999996,0.039980001747608185,0.004600000102072954,5.036826292673747,0.012937663169577718,1.9600840751736024,-0.002163447105676478,-0.09370230030801878
jensen,0.015,1,15,150000,-234.1308642048581,0.9986333333333333,0.01513,0.03996000066399574,0.0066999997943639755,5.400726954142253,0.012958659371361137,2.049541020222794,-0.0017084467207830213,-0.09994458107431006
jensen,0.015,1,16,160000,-233.79905155597135,0.9994333333333333,0.012145,0.039980001747608185,-0.00039999998989515007,5.765357971191406,0.012707163346931338,2.1430350800772118,-0.0015662013447719707,-0.09540433102122307
jensen,0.015,1,17,170000,-233.94088979645218,0.9992333333333333,0.011165000000000001,0.039969999343156815,-0.0019000000320374966,6.1298065185546875,0.012366206012666225,2.26641562003098,-0.0015820088637904324,-0.0895151987217243
jensen,0.015,1,18,180000,-233.82473394656364,0.9993666666666666,0.010310000000000001,0.03996000066399574,0.0005000000237487257,6.49437681833903,0.01194719816558063,2.3526430533048037,-0.002588795079507782,-0.10158160114159831
jensen,0.015,1,19,190000,-234.54340131953754,0.9993666666666666,0.014464999999999997,0.039969999343156815,0.004399999976158142,6.858946959177653,0.011907488387078047,2.4397541692553975,-0.0007550744836430854,-0.08559936015716388
jensen,0.015,1,20,200000,-234.4193975397701,0.9994333333333333,0.013455,0.03999000042676926,0.0020000000949949026,7.223578135172526,0.011775578605011106,2.528062522211833,-0.0013966454919486578,-0.08298460323189656
jensen,0.015,1,21,210000,-234.850864523837,0.9992,0.01766,0.0399399995803833,0.007899999618530273,7.587996164957683,0.012027530884370207,2.6331767835848536,-0.0014700510826468752,-0.07759926752098895
jensen,0.015,1,22,220000,-234.93351162161002,0.9991333333333333,0.01673,0.03994999825954437,0.005400000140070915,7.952353477478027,0.012194586219266057,2.689374927333321,-0.0021391725164684877,-0.09128064427913839
jensen,0.015,1,23,230000,-234.48995468342855,0.9993666666666666,0.010994999999999998,0.03994999825954437,0.0010999999940395355,8.31692377726237,0.011838110210373998,2.745313675255291,-0.0015808857084381618,-0.08266050569105987
jensen,0.015,1,24,240000,-234.90378250460188,0.9995666666666666,0.014015,0.039980001747608185,0.0026000000070780516,8.681676228841146,0.011757321236655117,2.839948529610393,-0.0014245070735894475,-0.0762343275717377
jensen,0.015,1,25,250000,-235.15260730463365,0.9991,0.015755,0.03996000066399574,0.007699999958276749,9.046003023783365,0.011835371656343342,2.909329738452079,-0.0015025322911656708,-0.07920454130905881
jensen,0.015,1,26,260000,-235.19669419753706,0.9995333333333334,0.014379999999999999,0.03996000066399574,0.003599999938160181,9.410725593566895,0.011787902191281318,3.0020358153550877,-0.00128401780421433,-0.07564924550434292
jensen,0.015,1,27,270000,-235.66931101162922,0.9992666666666667,0.017709999999999997,0.039969999343156815,0.01209999993443489,9.775204340616861,0.012044419068843126,3.080459345153031,-0.0017926640977310845,-0.08616087186707277
jensen,0.015,1,28,280000,-235.52479445177866,0.9993,0.015315,0.039980001747608185,0.004800000227987766,10.139713923136393,0.012082303175702691,3.122476605121386,-0.0012127365643244028,-0.08621041402824907
jensen,0.015,1,29,290000,-235.6808606859965,0.9997333333333334,0.01684,0.039980001747608185,0.008700000122189522,10.504618644714355,0.01225940021686256,3.1676731106983564,-0.0018023680173128822,-0.07612333121257127
jensen,0.015,1,30,300000,-235.88006105516868,0.9992333333333333,0.016725,0.039969999343156815,0.00800000037997961,10.869067192077637,0.012425998970866204,3.2164545433012584,-0.0015301506273386577,-0.0757865338642268
