variant,kappa,train_seed,episode,global_step,episode_reward_mean,on_ratio_mean,handover_ratio_mean,C_E_max,C_H_max,mu_E_mean_post_update,mu_H_mean_post_update,critic_loss_mean,actor_ue_loss_mean,actor_bs_loss_mean
pf,0.015,0,1,10000,1504.0513604015007,0.8684333333333334,0.073145,0.027569999918341637,0.06830000132322311,0.2450449913740158,0.005317016690969467,0.0271777238368958,-0.0030135303123447394,-0.2103833070369673
pf,0.015,0,2,20000,809.3316900947585,0.8418333333333333,0.070545,0.025310000404715538,0.06669999659061432,0.46580760677655536,0.010396686894819141,0.10931934161827266,-0.0035918564187905075,-0.16121846114880628
pf,0.015,0,3,30000,383.53457079651196,0.8567999999999999,0.067615,0.026280000805854797,0.06549999862909317,0.7002328634262085,0.015208886098116636,0.061415778640536434,-0.0029049822603812135,-0.1437623681577182
pf,0.015,0,4,40000,2705.9233373003644,0.8313666666666667,0.069605,0.02345000021159649,0.065700002014637,0.9114407896995544,0.020202746521681546,1.822784514516968,-0.0021138227118114358,-0.12544675377312506
pf,0.015,0,5,50000,4683.545104637755,0.7771333333333333,0.068825,0.018570000305771828,0.06069999933242798,1.0731406609217327,0.025125403236597777,2.708035064495065,-0.0026923096668022345,-0.1382509832324967
pf,0.015,0,6,60000,3341.8995126256423,0.7973666666666667,0.07021,0.02070000022649765,0.06319999694824219,1.2533109585444133,0.030174492113292217,1.068099365976406,-0.0023250963781294236,-0.11541479688485543
pf,0.015,0,7,70000,3149.6070991914357,0.8228333333333332,0.06673,0.02263999916613102,0.061400000005960464,1.4567290147145588,0.03490590192377567,0.9279028218737715,-0.0017055984280702858,-0.1017772594077772
pf,0.015,0,8,80000,1717.4528247939159,0.9131666666666667,0.08004,0.031939998269081116,0.07639999687671661,1.7426097393035889,0.04085234347730875,0.260862711143977,-0.002024999742036615,-0.10213014944692296
pf,0.015,0,9,90000,1485.7522099855737,0.7865333333333333,0.06822500000000001,0.019430000334978104,0.05959999933838844,1.9128905932108562,0.04572022743523121,0.18860671496455955,-0.0016787468579515252,-0.11005954887081362
pf,0.015,0,10,100000,1514.0022353254014,0.9085333333333333,0.07511,0.031199999153614044,0.07240000367164612,2.1945416927337646,0.05121662355959415,0.19050874636713042,-0.0019145828055783728,-0.13376766042945953
pf,0.015,0,11,110000,3078.944601246156,0.9096000000000001,0.08375999999999999,0.0320499986410141,0.08030000329017639,2.4771665732065835,0.057502652518451214,0.9673239628858411,-0.0022507371255668183,-0.10848048859779853
pf,0.015,0,12,120000,1974.4190338909934,0.7033666666666667,0.0631,0.010889999568462372,0.05640000104904175,2.5715270042419434,0.061902690678834915,0.737061192819718,-0.0020047022910240474,-0.11513115247399133
pf,0.015,0,13,130000,3341.8913879913803,0.7520000000000001,0.06071,0.01576000079512596,0.054499998688697815,2.7102832794189453,0.06608455255627632,1.2816837159511871,-0.0018655929505925247,-0.10395151162608468
pf,0.015,0,14,140000,2872.146995027592,0.8569666666666667,0.06652,0.02677999995648861,0.06509999930858612,2.9448607762654624,0.07079679295420646,1.5052268436786425,-0.00181719708850289,-0.1180805320086332
pf,0.015,0,15,150000,3704.020146655738,0.9195000000000001,0.0784,0.03237000107765198,0.07320000231266022,3.2365230719248452,0.07659352160990238,1.2786487728569125,-0.0014707448713251537,-0.10371572205309072
pf,0.015,0,16,160000,3405.429986680519,0.9136666666666665,0.07567499999999999,0.03147999942302704,0.07479999959468842,3.522860129674276,0.08214149586856365,0.761552717507698,-0.0020441665746642962,-0.10917705051082222
pf,0.015,0,17,170000,2783.936116454872,0.8749333333333333,0.07694000000000001,0.028599999845027924,0.07000000029802322,3.773838837941488,0.08780494704842567,0.4794350911856271,-0.0012599872724341724,-0.09578810756122752
pf,0.015,0,18,180000,4512.8821869897765,0.872,0.080705,0.0276699997484684,0.07530000060796738,4.022139708201091,0.09381209388375282,1.995887620637851,-0.0016369784617784751,-0.09019324766351146
pf,0.015,0,19,190000,2339.1774852989474,0.7463000000000001,0.06779,0.015469999983906746,0.059700001031160355,4.15569273630778,0.09864026866853237,0.6916435029554058,-0.0008661500089123987,-0.07051525425970484
pf,0.015,0,20,200000,2849.525849424727,0.5946666666666668,0.05163500000000001,0.0005000000237487257,0.04190000146627426,4.150824069976807,0.10199370048940182,0.8064925519212461,-0.002476331734178069,-0.08648388243178672
pf,0.015,0,21,210000,5484.1305945107915,0.7872333333333333,0.07161999999999999,0.019260000437498093,0.06419999897480011,4.321743965148926,0.10717150345444679,2.653041577575977,-0.001033845072674058,-0.062448981238670556
pf,0.015,0,22,220000,1740.7561124016386,0.8515333333333333,0.07879499999999999,0.02604999952018261,0.07419999688863754,4.5513614018758135,0.11300429217517376,0.1046777147213053,-0.0015491066278029186,-0.0886169304125176
pf,0.015,0,23,230000,2900.1637016243244,0.7983666666666668,0.076375,0.021950000897049904,0.07580000162124634,4.732444445292155,0.11861616522073745,0.20252530037331812,-0.0017069348767753457,-0.09079944834413738
pf,0.015,0,24,240000,3791.0685205038944,0.8335,0.07947000000000001,0.023879999294877052,0.0729999989271164,4.9456000328063965,0.12451057285070419,0.5526395449701057,-0.001501057561025719,-0.08719774340854108
pf,0.015,0,25,250000,5096.610547133034,0.8826666666666667,0.083375,0.028839999809861183,0.08079999685287476,5.203638076782227,0.13076145723462104,0.7358607007181929,-0.001579754057198857,-0.08227765926268965
pf,0.015,0,26,260000,4593.784225823355,0.8372666666666667,0.079355,0.02457999996840954,0.06970000267028809,5.420231978098552,0.1366453655064106,0.2403296156817833,-0.0015947698592650406,-0.08764710155893353
pf,0.015,0,27,270000,7343.453311494824,0.8499333333333333,0.080515,0.02517000027000904,0.08160000294446945,5.648388862609863,0.14263516962528228,0.7468266767014026,-0.0017670793276459945,-0.08271689079863997
pf,0.015,0,28,280000,2953.8491832774125,0.8517666666666667,0.07847,0.025459999218583107,0.07020000368356705,5.878219286600749,0.14843828976154327,0.5899658965164309,-0.0019522265630591473,-0.09171973782240803
pf,0.015,0,29,290000,2608.4220592213414,0.8494,0.07641500000000001,0.025219999253749847,0.07280000299215317,6.1058891614278155,0.15405381470918655,0.1850522895436849,-0.001203077922161091,-0.0592037416940048
pf,0.015,0,30,300000,2710.60972099379,0.7599,0.072215,0.017170000821352005,0.06589999794960022,6.251857439676921,0.15928593426942825,0.15310745164434383,-0.001259591088326695,-0.07782143275135586
