algorithm,kappa,train_seed,eval_seed,throughput,fairness,on_ratio,handover_ratio,served_ratio,outage_ratio,reward,pf_utility,avg_energy_cost,performance_metric,request_dwell_time,request_switch_ratio,conditional_handover_ratio,same_bs_retention_ratio,service_dwell_events
MAPPO,0.03,0,2000,5.3371209480025925,0.918857753276825,0.6,0.019605,0.09000000234656036,0.9099999976534396,92.65141727490403,-26.625686933173956,0.18000000000000002,-26.625686933173956,1.6243579710777358,0.6157515751575158,0.21807563959955506,0.7819243604004449,4.78810940029376
MAPPO,0.03,0,2001,5.543346539724959,0.9229611158370972,0.6,0.017945000000000003,0.0900000023536384,0.9099999976463616,93.88432900617975,-25.818598190469636,0.18000000000000002,-25.818598190469636,1.6165843037938423,0.6187068706870688,0.1996106785317019,0.8003893214682981,5.247143423274814
MAPPO,0.03,0,2002,5.498048590858756,0.9141937494277954,0.6,0.018125,0.09000000236704946,0.9099999976329506,93.95556077821779,-26.017769509517993,0.18000000000000005,-26.017769509517993,1.6188393323647046,0.6178217821782178,0.20161290322580644,0.7983870967741935,5.043672901213567
MAPPO,0.03,0,2003,5.508651078279642,0.9371665120124817,0.6,0.017419999999999998,0.09000000236555934,0.9099999976344406,93.54496191227472,-25.87381722064779,0.18000000000000002,-25.87381722064779,1.6270370282230666,0.6147214721472147,0.19377085650723025,0.8062291434927698,5.3364260084768
MAPPO,0.03,0,2004,5.481277674738719,0.9247406125068665,0.6,0.019014999999999997,0.09000000233836472,0.9099999976616353,93.3998013671186,-25.996701755064745,0.18,-25.996701755064745,1.6253637304265343,0.6153465346534653,0.21151279199110123,0.7884872080088987,4.9136691856168175
HAPPO,0.03,0,2000,5.954803868715775,0.91462641954422,0.6,0.017625,0.09000000213980675,0.9099999978601933,105.93604667579307,-24.412680648136817,0.18000000000000005,-24.412680648136817,1.6245475894113024,0.6158065806580658,0.1960511679644049,0.8039488320355951,5.301113841911807
HAPPO,0.03,0,2001,6.227316508641258,0.9256746172904968,0.6,0.015375,0.09000000213235616,0.9099999978676439,107.33502173980521,-23.490893273448354,0.18000000000000002,-23.490893273448354,1.6241728383485579,0.616046604660466,0.1710233592880979,0.8289766407119021,6.2777179222887725
HAPPO,0.03,0,2002,6.194934386316475,0.9074363708496094,0.6,0.015609999999999999,0.09000000214576721,0.9099999978542328,107.92487336250115,-23.625943161810916,0.18000000000000005,-23.625943161810916,1.6398119730987877,0.6101960196019602,0.17363737486095662,0.8263626251390433,5.94895677611405
HAPPO,0.03,0,2003,6.180808210601394,0.9333852529525757,0.6,0.01463,0.09000000213719904,0.909999997862801,106.52245274953403,-23.567232483808212,0.18000000000000002,-23.567232483808212,1.6294708815595946,0.6140214021402141,0.16273637374860955,0.8372636262513904,6.396668776545572
HAPPO,0.03,0,2004,6.116911543030506,0.9201263189315796,0.6,0.016810000000000002,0.09000000211670994,0.90999999788329,106.68747168791715,-23.78596869273678,0.18000000000000005,-23.78596869273678,1.6114628569963578,0.6206770677067707,0.18698553948832036,0.8130144605116796,5.525294803888277
MAPPO,0.03,1,2000,5.6881088996203735,0.9076846837997437,0.6,0.02171,0.09000000215657056,0.9099999978434294,106.08480806643699,-25.316299193701788,0.18000000000000005,-25.316299193701788,1.6894179276947814,0.5923642364236423,0.24149054505005563,0.7585094549499444,4.220568875790917
MAPPO,0.03,1,2001,5.691922825327698,0.9261415600776672,0.6,0.02045,0.09000000221394003,0.90999999778606,100.95748680045084,-25.290630229652763,0.18000000000000005,-25.290630229652763,1.6431091357117555,0.6087608760876088,0.2274749721913237,0.7725250278086763,4.526640221587159
MAPPO,0.03,1,2002,5.716436641893934,0.9110403060913086,0.6,0.021735,0.09000000220686197,0.909999997793138,102.33339160270036,-25.23754719526384,0.18000000000000005,-25.23754719526384,1.6586969212127578,0.603025302530253,0.2417686318131257,0.7582313681868743,4.246242187312684
