algorithm,train_seed,eval_seed,trained_num_users,eval_num_users,kappa,throughput,jfi,objective,on_ratio,ho_ratio,request_dwell,request_switch,conditional_ho,same_bs
MAPPO,0,2000,20,30,0.015,5.427040039546323,0.9196829800980156,-51.5256907403792,0.6,0.010146666666666667,1.5970831990412706,0.6262792945961263,0.16939343350027825,0.8306065664997218
MAPPO,0,2001,20,30,0.015,5.596226334543174,0.9177841431915016,-50.51970208653932,0.6,0.00965,1.5946038499477442,0.6272427242724272,0.16110183639398998,0.83889816360601
MAPPO,0,2002,20,30,0.015,5.404549383493714,0.9377409232765849,-51.528200722343456,0.6,0.00984,1.588287122747498,0.6297763109644298,0.1642737896494157,0.8357262103505843
MAPPO,0,2003,20,30,0.015,5.386519637038535,0.9265134778704349,-51.663810967621906,0.6,0.010266666666666667,1.5973575245292533,0.6261526152615261,0.17139677239844184,0.8286032276015581
MAPPO,0,2004,20,30,0.015,5.245124219304181,0.9319307204466369,-52.44703866098754,0.6,0.010236666666666666,1.5939812509902054,0.6274960829416275,0.17089593767390093,0.829104062326099
MAPPO,1,2000,20,30,0.015,6.022577969794788,0.9239670273202549,-48.31959623833123,0.6,0.009013333333333333,1.5794426843635134,0.6332033203320332,0.15047301057317752,0.8495269894268225
MAPPO,1,2001,20,30,0.015,6.267925103570342,0.9230829156745047,-47.08752233604946,0.6,0.008316666666666667,1.577411878595947,0.6339767310064339,0.13884251530328326,0.8611574846967167
MAPPO,1,2002,20,30,0.015,6.069410556465906,0.9420140628934466,-48.004200116059636,0.6,0.008063333333333334,1.5786952879567244,0.6334500116678334,0.13461324429604898,0.865386755703951
MAPPO,1,2003,20,30,0.015,5.962432491571588,0.9359211041050426,-48.59345421031133,0.6,0.008543333333333333,1.5814012779848412,0.6323832383238324,0.14262659988870338,0.8573734001112966
MAPPO,1,2004,20,30,0.015,5.883940475639616,0.9331327796693613,-48.95566334847712,0.6,0.00857,1.5815097895104806,0.6323532353235324,0.14307178631051753,0.8569282136894825
MAPPO,2,2000,20,30,0.015,5.382587415486468,0.924745536911796,-51.72526753098595,0.6,0.00978,1.5795608061711912,0.6331833183318332,0.16327212020033388,0.8367278797996661
MAPPO,2,2001,20,30,0.015,5.608915732212328,0.9205241929489552,-50.52176311206228,0.6,0.0091,1.578967391525105,0.6333833383338334,0.15191986644407346,0.8480801335559265
MAPPO,2,2002,20,30,0.015,5.362576961175591,0.9392405673812695,-51.7689596109721,0.6,0.009116666666666667,1.5805234072597723,0.6328332833283329,0.1521981079577073,0.8478018920422927
MAPPO,2,2003,20,30,0.015,5.30276405054886,0.9326993488367743,-52.15219827457542,0.6,0.009523333333333333,1.5835889844271889,0.6315564889822316,0.15898720089037285,0.8410127991096271
MAPPO,2,2004,20,30,0.015,5.259014929906869,0.924988074121037,-52.35447965368647,0.6,0.009283333333333333,1.5679765717272163,0.6378237823782378,0.15498052309404564,0.8450194769059544
HAPPO,0,2000,20,30,0.015,5.970554186619152,0.9276367723356437,-48.56729639807867,0.6,0.008866666666666667,1.6193149221138217,0.6176150948428176,0.14802448525319978,0.8519755147468002
HAPPO,0,2001,20,30,0.015,6.195444121159334,0.9148812918054604,-47.44962294984158,0.6,0.00827,1.618342535571921,0.6179684635130179,0.1380634390651085,0.8619365609348915
HAPPO,0,2002,20,30,0.015,5.953092227612154,0.9262294495326142,-48.5824310022077,0.6,0.008026666666666666,1.622047485391363,0.6165383204987165,0.13400111296605455,0.8659988870339455
HAPPO,0,2003,20,30,0.015,5.910850794987081,0.9359552163503528,-48.84355383415433,0.6,0.008633333333333333,1.6234155148858418,0.616024935826916,0.1441291040623261,0.855870895937674
HAPPO,0,2004,20,30,0.015,5.808614169003982,0.9309077990973984,-49.34311384629222,0.6,0.008383333333333333,1.6199448085929438,0.6173617361736173,0.13995548135781857,0.8600445186421815
HAPPO,1,2000,20,30,0.015,6.198280239588559,0.9439953901476251,-47.43095651332283,0.5737333333333333,0.009643333333333334,1.8241405960623496,0.5487615428209488,0.16837387964148529,0.8316261203585147
HAPPO,1,2001,20,30,0.015,6.459405678470836,0.9494123772626825,-46.14132618846542,0.5781,0.008876666666666666,1.8372205929774401,0.5448478181151448,0.15381505227285855,0.8461849477271415
HAPPO,1,2002,20,30,0.015,6.378819841362775,0.9524007392708258,-46.52036438676284,0.5751333333333334,0.008556666666666667,1.7788359520900874,0.5625162516251625,0.1490362285183465,0.8509637714816535
HAPPO,1,2003,20,30,0.015,6.24497392741289,0.9513309489718893,-47.16478860563829,0.5737333333333333,0.00917,1.7928375772422114,0.5581958195819582,0.16010941683156793,0.839890583168432
HAPPO,1,2004,20,30,0.015,6.2250356934162765,0.951854385969663,-47.253216671545864,0.5790333333333333,0.009023333333333333,1.7957392961178145,0.5573090642397573,0.15610403090940544,0.8438959690905945
HAPPO,2,2000,20,30,0.015,6.161422719978832,0.9384184906470405,-47.620813660045066,0.6,0.007776666666666667,1.6509219388204566,0.6058672533920059,0.12982749026154702,0.870172509738453
HAPPO,2,2001,20,30,0.015,6.370179605015381,0.9366871758496014,-46.60033419444488,0.6,0.0072633333333333334,1.660811257948344,0.6023135646898023,0.12125765164162493,0.8787423483583751
HAPPO,2,2002,20,30,0.015,6.19198707015096,0.9530503796122025,-47.39952179939021,0.6,0.007156666666666667,1.6487539763243455,0.6066206620662066,0.1194769059543684,0.8805230940456316
HAPPO,2,2003,20,30,0.015,6.129634583802071,0.950384680423969,-47.7396776265806,0.6,0.007536666666666666,1.6499550804317957,0.6061739507284062,0.1258208124652198,0.8741791875347802
HAPPO,2,2004,20,30,0.015,6.083158702874876,0.9467283443714306,-47.95171379572872,0.6,0.00749,1.6438606898926726,0.6085441877521085,0.12504173622704506,0.8749582637729549
LyMARL,0,2000,20,30,0.015,5.985696149610021,0.9159659577656857,-48.533190872137155,0.5625333333333333,0.009116666666666667,1.5931823741421587,0.6277027702770277,0.16235308085005343,0.8376469191499466
LyMARL,0,2001,20,30,0.015,6.062528022085314,0.911944166464572,-48.10042892327348,0.5389333333333334,0.008686666666666667,1.5978550034690384,0.6258459179251259,0.1614822158879663,0.8385177841120337
LyMARL,0,2002,20,30,0.015,5.737765039711573,0.9332064135424345,-49.70736974962542,0.5085,0.00918,1.5986295810245275,0.6256258959229256,0.18088669950738917,0.8191133004926108
LyMARL,0,2003,20,30,0.015,5.725512874616311,0.9274635854788034,-49.82052720467073,0.5252333333333333,0.00943,1.5996527378911158,0.6251691835850252,0.179881732053157,0.8201182679468431
LyMARL,0,2004,20,30,0.015,5.80345668672501,0.9257014723525581,-49.38629974706896,0.5404333333333333,0.009023333333333333,1.589787530590313,0.629069573624029,0.16727430019155903,0.8327256998084409
